Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
98,Keon Ellis,25,SAC,SG,80,28,1948,0.664,12.7,2.7,2.2,5,0.122,-0.1,2,1.9,1.9,0.488,0.395532211,26.56318083,26563180.83,2120693,,
141,De'Andre Hunter,27,2TM,SF,64,9,1740,0.623,22.8,3,1.4,4.4,0.122,1.2,-0.8,0.4,1,,0.390321917,26.42701525,26427015.25,21696429,,
210,Ausar Thompson,22,DET,SF,59,48,1328,0.568,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2,0.537,0.383695347,26.29084967,26290849.67,8376000,,
67,Jaylen Brown,28,BOS,SF,63,63,2158,0.555,28.9,2.3,2.9,5.2,0.115,0.4,-0.4,0,1.1,0.744,0.373757928,26.1546841,26154684.1,49205800,,
192,T.J. McConnell,32,IND,PG,79,1,1415,0.547,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2,0.61,0.372383286,26.01851852,26018518.52,9300000,,
74,Fred VanVleet,30,HOU,PG,60,60,2111,0.515,17.7,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5,0.634,0.370058712,25.88235294,25882352.94,42846615,,
118,Andrew Wiggins,29,GSW,SF,43,43,1296,0.566,23.5,1.7,1.5,3.2,0.119,1.4,-0.4,1,1,0.585,0.355682622,25.74618736,25746187.36,26276786,,
161,Caris LeVert,30,2TM,SG,64,3,1596,0.582,19.4,2.4,1.6,4,0.119,0.8,0.1,0.9,1.2,,0.348209952,25.61002179,25610021.79,16615384,,
330,Sandro Mamukelashvili,25,SAS,PF,61,0,681,0.628,20.8,1.6,0.6,2.2,0.152,3.3,-1,2.3,0.7,0.415,0.34554929,25.47385621,25473856.21,2087519,,
216,Jalen Johnson,23,ATL,SF,36,36,1284,0.569,22.5,0.8,1.6,2.4,0.089,0.5,1.4,1.8,1.2,0.488,0.33945133,25.33769063,25337690.63,4510905,,
356,Joel Embiid,30,PHI,C,19,19,574,0.58,34.2,0.9,0.5,1.4,0.118,3.7,-0.3,3.5,0.8,0.293,0.338666688,25.20152505,25201525.05,51415938,,
136,Mike Conley,37,MIN,PG,71,64,1756,0.573,14.4,3,2.2,5.2,0.142,-0.1,1.3,1.2,1.4,0.598,0.322596282,25.06535948,25065359.48,9975962,,
43,Anfernee Simons,25,POR,SG,70,70,2292,0.557,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1,0.439,0.315977789,24.9291939,24929193.9,25892857,,
180,Kevin Porter Jr.,24,MIL,SG,30,2,598,0.616,24.8,1.1,0.9,2,0.163,0.9,1.2,2.1,0.6,0.585,0.312141528,24.79302832,24793028.32,3366937,,
62,Myles Turner,28,IND,C,72,72,2174,0.612,20.7,1.8,2.9,4.7,0.104,0,0.4,0.4,1.3,0.61,0.311507623,24.65686275,24656862.75,19928500,,
42,Chris Paul,39,SAS,PG,82,82,2292,0.58,14,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6,0.415,0.306863091,24.52069717,24520697.17,10460000,,
232,John Collins,27,UTA,PF,40,31,1220,0.628,24.2,1.7,0.8,2.5,0.098,1.4,-0.4,1,0.9,0.207,0.294071309,24.38453159,24384531.59,26580000,,
90,Quentin Grimes,24,2TM,SG,75,37,2013,0.595,22.8,2,1.4,3.4,0.081,1.3,-0.9,0.4,1.2,,0.29259228,24.24836601,24248366.01,4296682,,
277,Jalen Smith,24,CHI,C,64,2,962,0.586,21,1.7,1.3,2.9,0.146,1.5,-0.6,0.9,0.7,0.476,0.285272141,24.11220044,24112200.44,8571429,,
275,Trayce Jackson-Davis,24,GSW,C,62,37,967,0.587,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,0.585,0.275086019,23.97603486,23976034.86,1891857,,
141,De'Andre Hunter,27,CLE,SF,27,5,676,0.634,20.5,1.4,0.8,2.2,0.157,1.6,0,1.6,0.6,0.78,0.273468408,23.83986928,23839869.28,21696429,,
